"filename", "language", "JSON with Comments", "JSON", "JavaScript", "TypeScript", "XML", "Markdown", "TypeScript JSX", "Prisma", "CSS", "comment", "blank", "total"
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\editor-canvas-card-single.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 0, 1, 4, 78
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\editor-canvas-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 6, 112
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\editor-canvas.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 229, 0, 0, 9, 24, 262
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\flow-instance.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 11, 73
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\google-drive-files.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 8, 82
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\google-file-details.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 6, 50
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\render-connection-accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 5, 81
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\render-output-accordian.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 1, 4, 33
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 4, 11
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\api\clerk-webhook\route.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 9, 41
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 5, 76
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 4, 43
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 6, 193
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\forms\profile-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 7, 107
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\forms\workflow-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 100, 0, 0, 9, 7, 116
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\global\3d-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 138, 0, 0, 1, 12, 151
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\global\connect-parallax.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 5, 159
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\global\container-scroll-animation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 7, 103
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\global\custom-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 6, 50
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\global\infinite-moving-cards.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 6, 102
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\global\lamp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 5, 117
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\global\mode-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 3, 41
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\global\navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 4, 64
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\global\sparkles.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 434, 0, 0, 0, 5, 439
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\icons\category.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 4, 64
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\icons\clipboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 3, 54
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\icons\cloud_download.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\icons\home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\icons\payment.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 4, 51
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\icons\settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\icons\workflows.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\infobar\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 0, 24, 7, 80
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\sidebar\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 4, 101
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 9, 59
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 6, 37
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 6, 57
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 9, 80
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 19, 156
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 14, 123
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 14, 119
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 19, 201
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 25, 177
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\multiple-selector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 419, 0, 0, 38, 43, 500
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\resizable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 7, 46
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 8, 56
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 14, 130
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 8, 31
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\ui\use-toast.ts", "TypeScript", 0, 0, 0, 160, 0, 0, 0, 0, 0, 3, 32, 195
"c:\Users\hites\Desktop\Projects\automation_builder\src\lib\constant.ts", "TypeScript", 0, 0, 0, 173, 0, 0, 0, 0, 0, 0, 9, 182
"c:\Users\hites\Desktop\Projects\automation_builder\src\lib\db.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\hites\Desktop\Projects\automation_builder\src\lib\editor-utils.ts", "TypeScript", 0, 0, 0, 147, 0, 0, 0, 0, 0, 2, 12, 161
"c:\Users\hites\Desktop\Projects\automation_builder\src\lib\types.ts", "TypeScript", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 11, 93
"c:\Users\hites\Desktop\Projects\automation_builder\src\lib\utils.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\hites\Desktop\Projects\automation_builder\src\middleware.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 3, 22
"c:\Users\hites\Desktop\Projects\automation_builder\src\providers\connections-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 9, 125
"c:\Users\hites\Desktop\Projects\automation_builder\src\providers\editor-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 22, 165
"c:\Users\hites\Desktop\Projects\automation_builder\src\providers\model-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 13, 71
"c:\Users\hites\Desktop\Projects\automation_builder\src\providers\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
"c:\Users\hites\Desktop\Projects\automation_builder\src\store.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 2, 4, 31
"c:\Users\hites\Desktop\Projects\automation_builder\tailwind.config.ts", "TypeScript", 0, 0, 0, 134, 0, 0, 0, 0, 0, 9, 3, 146
"c:\Users\hites\Desktop\Projects\automation_builder\tsconfig.json", "JSON with Comments", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 30, 7782, 21, 754, 2, 23, 6104, 105, 71, 180, 771, 15843
